,site,visit,site_type,mean_caterpillar,mean_spider,visit_enrich
1,1,1,native,0,0.0017225,before
2,1,2,native,0,3.00E-04,after
3,1,3,native,0,0.0027,after
4,1,4,native,0,0.00015,after
5,2,1,native,0.010166667,0.000916667,before
6,2,2,native,0.00115,0.00625,after
7,2,3,native,0,0.00965,after
8,2,4,native,0.000966667,0.005898333,after
9,3,1,native,0.01914,0.003578,before
10,3,2,native,0.01156,0.00176,after
11,3,3,native,0,0.00768,after
12,3,4,native,0,0.009478,after
13,4,1,nonnative,0.002825,0,before
14,4,2,nonnative,0,0.00042,after
15,4,3,nonnative,0,0.00095,after
16,4,4,nonnative,0,0.000125,after
17,5,1,nonnative,0.057097143,0.000771429,before
18,5,2,nonnative,0.000242857,0.002414286,after
19,5,3,nonnative,0,0.005314286,after
20,5,4,nonnative,0.000442857,0,after
21,6,1,nonnative,0.018383333,3.33E-05,before
22,6,2,nonnative,0,0.003383333,after
23,6,3,nonnative,0,0.000483333,after
24,6,4,nonnative,0,0.000846667,after
25,7,1,nonnative,0.02085,0,before
26,7,2,nonnative,2.25E-05,0.000825,after
27,7,3,nonnative,0,0.008025,after
28,7,4,nonnative,0.00015,0.000175,after
29,8,1,nonnative,0,0.00114,before
30,8,2,nonnative,0,5.00E-04,after
31,8,3,nonnative,0,6.00E-04,after
32,8,4,nonnative,1.80E-05,0.00382,after
33,9,1,nonnative,0.0024,1.80E-05,before
34,9,2,nonnative,0.00096,0.00222,after
35,9,3,nonnative,0,4.00E-04,after
36,9,4,nonnative,0,0,after
37,10,1,nonnative,0.0104225,2.25E-05,before
38,10,2,nonnative,0,0.004075,after
39,10,3,nonnative,0,7.50E-05,after
40,10,4,nonnative,0,8.00E-04,after
41,11,1,native,0.00988,0.00068,before
42,11,2,native,0,0.00134,after
43,11,3,native,0.00744,0.003758,after
44,11,4,native,0.00108,0.0016,after
45,12,1,native,0.31395,0.001366667,before
46,12,2,native,0,0.0051,after
47,12,3,native,0.000483333,0.004083333,after
48,12,4,native,0.00275,0.010065,after
49,13,1,native,0.01605,0.001,before
50,13,2,native,0,0,after
51,13,3,native,0.002575,0.007875,after
52,13,4,native,0.001425,0.00395,after
53,14,1,native,0.005533333,0.0017,before
54,14,2,native,0,0.0021,after
55,14,3,native,0.013733333,0.005533333,after
56,14,4,native,0.030366667,0.001266667,after
57,15,1,native,0.805466667,4.00E-04,before
58,15,2,native,0,0.00193,after
59,15,3,native,0.000363333,0.011496667,after
60,15,4,native,0.004666667,0.007133333,after
61,16,1,nonnative,0.0042,2.00E-04,before
62,16,2,nonnative,0.00044,0.000838,after
63,16,3,nonnative,0.03646,0.00026,after
64,16,4,nonnative,0.01396,0.001418,after
