"","d15N","d13C","site_factor","sitetype_factor","days_since_enrich"
"1",6.95,-27.23,13,1,"20.00"
"2",10.56,-26.16,13,1,"20.00"
"3",19.75,-25.16,13,1,"37.00"
"4",14.38,-25.2,11,1,"15.00"
"5",7.03,-26.72,11,1,"15.00"
"6",20.96,-25.74,11,1,"33.00"
"7",9.22,-25.75,11,1,"33.00"
"8",68.59,-25.74,11,1,"47.00"
"9",104.55,-27.64,1,1,"32.00"
"10",19.99,-25.28,15,1,"15.00"
"11",43.07,-26.12,15,1,"33.00"
"12",8.71,-26.74,15,1,"54.00"
"13",168.98,-26.13,15,1,"54.00"
"14",11.01,-26.63,14,1,"21.00"
"15",9.92,-27.14,14,1,"21.00"
"16",9.72,-27.8,14,1,"42.00"
"17",29.83,-28.52,14,1,"60.00"
"18",17.26,-25.67,7,2,"33.00"
"19",9.25,-24.8,7,2,"15.00"
"20",11.83,-25.84,16,2,"18.00"
"21",100.05,-25.29,16,2,"57.00"
"22",37.67,-27.19,8,2,"38.00"
"23",15.04,-25.31,3,1,"18.00"
"24",15.6,-26.86,3,1,"45.00"
"25",7.21,-27.48,3,1,"35.00"
"26",22.7,-27.24,3,1,"35.00"
"27",37.5,-26.43,3,1,"53.00"
"28",34.64,-25.98,3,1,"53.00"
"29",39.97,-25.53,3,1,"53.00"
"30",12.36,-25.88,6,2,"27.00"
"31",12.36,-26.11,6,2,"27.00"
"32",32.89,-26.03,6,2,"27.00"
"33",6.54364,-26.4870539,9,2,"25.00"
"34",22.51036,-27.6090506,9,2,"25.00"
"35",10.61155,-26.8672346,9,2,"25.00"
"36",12.53314,-25.6463291,9,2,"25.00"
"37",19.69084,-26.793053,9,2,"39.00"
"38",17.45938,-24.7303924,9,2,"39.00"
"39",8.30782,-26.2943878,2,1,"26.00"
"40",25.44175,-26.566387,2,1,"23.00"
"41",20.66995,-25.8781466,2,1,"23.00"
"42",6.67729,-25.5412385,2,1,"37.00"
"43",9.19585,-26.2748121,2,1,"37.00"
"44",20.29771,-26.6364474,2,1,"37.00"
"45",8.90677,-25.8080862,2,1,"37.00"
"46",8.40484,-26.4190541,2,1,"58.00"
"47",15.65857,-27.2906879,2,1,"58.00"
"48",9.85321,-26.6374777,2,1,"58.00"
"49",14.49928,-27.1577792,2,1,"58.00"
"50",8.81074,-26.2562667,12,1,"19.00"
"51",13.96468,-26.3232362,12,1,"19.00"
"52",11.20555,-25.4392388,12,1,"37.00"
"53",21.90646,-26.2809939,12,1,"37.00"
"54",15.06259,-26.2717212,12,1,"51.00"
"55",23.99734,-26.0955399,12,1,"51.00"
"56",5.10418,-24.9333615,12,1,"51.00"
"57",31.13029,-26.968204,4,2,"25.00"
"58",11.45206,-26.246994,8,2,"21.00"
"59",16.86241,-25.9554191,3,1,"18.00"
"60",5.32,-25.0683308,3,1,"18.00"
"61",10.8244,-24.4357266,6,2,"27.00"
"62",22.11634,-26.0532976,6,2,"55.00"
"63",19.41364,-25.7699651,6,2,"55.00"
"64",5.44672,-25.6298443,14,1,"42.00"
"65",77.59099,-27.9109285,2,1,"37.00"
"66",5.48236,-27.8758983,2,1,"37.00"
"67",55.81396,-25.5845111,12,1,"19.00"
"68",152.68249,-27.8810498,5,2,"18.00"
"69",10.18882,-26.1975396,5,2,"32.00"
"70",161.29252,-27.4380208,5,2,"18.00"
"71",44.91703,-25.5958444,5,2,"18.00"
"72",162.07066,-28.3735332,5,2,"32.00"
"73",38.48005,-26.1182065,3,1,"35.00"
"74",18.68698,-26.1573579,11,1,"33.00"
"75",12.3094,-27.1402641,7,2,"33.00"
"76",14.8834,-27.2783243,10,2,"21.00"
"77",9.08101,-24.7231803,10,2,"21.00"
"78",17.95438,-25.6401473,10,2,"60.00"
